googleAPI_return_Address,lat,lng
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區興業西路136-140號,23.4681898,120.4421177
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市東區圓福街118巷2弄108號,23.488141,120.467014
600台灣嘉義市東區小雅路185號,23.4726044,120.4740688
600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339
600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339
600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667
600台灣嘉義市西區興達路480號,23.484986,120.431949
600台灣嘉義市西區國華街269-273號,23.4800326,120.4484134
600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街269-273號,23.4800326,120.4484134
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區八德路330號,23.4912488,120.4302424
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街269-273號,23.4800326,120.4484134
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區國華街268號,23.4826483,120.4480141
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市東區彌陀路180號,23.4724381,120.4638868
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區保安一路348巷28號,23.4918977,120.4313093
600台灣嘉義市西區安東一街35號,23.4933151,120.4325967
600台灣嘉義市西區南京路20巷12號,23.4564941,120.4429629
600台灣嘉義市東區圓福街118巷2弄108號,23.488141,120.467014
600台灣嘉義市西區蘭州四街149-153號,23.4676732,120.4315327
600台灣嘉義市西區後驛街175號,23.4789566,120.4388887
600台灣嘉義市西區後驛街175號,23.4789566,120.4388887
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區後驛街175號,23.4789566,120.4388887
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
600台灣嘉義市西區後驛街143-153號,23.4796053,120.4391845
600台灣嘉義市西區後驛街143-153號,23.4796053,120.4391845
600台灣嘉義市西區後驛街143-153號,23.4796053,120.4391845
香港沙頭角沙頭角公路石涌凹段200號遠東樓,22.5454435,114.2231214
600台灣嘉義市東區五福街90號,23.4876372,120.4708077
600台灣嘉義市西區新民路750號,23.4693318,120.4401368
600台灣嘉義市東區和平路241號,23.4785789,120.4572115
600台灣嘉義市東區大雅路一段32號,23.4802408,120.5032865
600台灣嘉義市東區興業東路62號,23.4694597,120.4555993
600台灣嘉義市西區永福三街30號,23.4736996,120.4249398
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
600台灣嘉義市西區八德路330號,23.4912488,120.4302424
600台灣嘉義市西區民生南路391號,23.460035,120.443695
600台灣嘉義市西區自強街195巷27號,23.464458,120.4203273
508台灣彰化縣和美鎮彰新路六段181號,24.140531,120.508189
600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625
502台灣彰化縣芬園鄉大彰路一段860號,23.9677446,120.6251715
600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228
600台灣嘉義市東區宣信街30號,23.463079,120.4645467
600台灣嘉義市東區新生路631號,23.4931611,120.4572237
600台灣嘉義市西區民生南路545巷31號,23.456455,120.4447215
600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339
600台灣嘉義市西區民生南路545巷31號,23.456455,120.4447215
600台灣嘉義市西區長春二街23號,23.4893382,120.4383095
600台灣嘉義市西區仁愛路159巷22號,23.4689729,120.4422175
600台灣嘉義市西區永安街331號,23.4703467,120.4464733
600台灣嘉義市西區仁愛路1號,23.4666367,120.4406522
600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358
600台灣嘉義市東區大雅路二段433巷36-1號,23.4763949,120.4727447
600台灣嘉義市東區台斗街31號,23.4909592,120.4514337
600台灣嘉義市西區青年街111號,23.4697284,120.4345887
600台灣嘉義市東區安和街30號,23.4763998,120.4584467
600台灣嘉義市東區大業街176巷31號,23.4617234,120.4509042
600台灣嘉義市西區西門街1號,23.4716206,120.4436708
600台灣嘉義市東區興業東路62號,23.4694597,120.4555993
600台灣嘉義市東區溪興街105巷30號,23.4546714,120.4580874
600台灣嘉義市東區過溪41號,23.4515886,120.4558931
508台灣彰化縣和美鎮彰新路六段694號,24.1523209,120.5096497
600台灣嘉義市西區民族路630號,23.4756659,120.445173
600台灣嘉義市西區重慶六街120巷2-56號,23.457293,120.4302166
600台灣嘉義市西區康樂街120號,23.4748143,120.4473158
600台灣嘉義市西區延平街361號,23.4763429,120.4452048
600台灣嘉義市西區垂楊路766號,23.4730336,120.4404867
600台灣嘉義市西區永福一街22號,23.4726134,120.4252421
600台灣嘉義市東區義教街31號,23.4934508,120.4677096
600台灣嘉義市西區民生南路40號,23.4726668,120.4468522
600台灣嘉義市西區文化路660號,23.4952366,120.4437622
600台灣嘉義市西區育人路258巷76號,23.4743293,120.4163811
600台灣嘉義市東區信興街96巷49號,23.4679175,120.4574098
600台灣嘉義市西區興達路389-393號,23.4855173,120.4352886
600台灣嘉義市西區興達路389-393號,23.4855173,120.4352886
600台灣嘉義市西區新榮路1號,23.4689591,120.4451514
600台灣嘉義市西區興達路389-393號,23.4855173,120.4352886
600台灣嘉義市西區興達路389-393號,23.4855173,120.4352886
600台灣嘉義市西區新民路420號,23.4602379,120.4407319
600台灣嘉義市西區長安街109巷1號,23.4847926,120.4443009
600台灣嘉義市東區保義路108巷25號,23.5017464,120.4536756
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區台斗街31號,23.4909592,120.4514337
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區台斗街30號,23.4912135,120.4515795
600台灣嘉義市東區溪興街153巷30弄16號,23.453869,120.4560725
600台灣嘉義市西區友愛路569號,23.4904344,120.435872
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市西區南京路514-516號,23.4668902,120.4359427
600台灣嘉義市東區興業東路62號,23.4694597,120.4555993
600台灣嘉義市西區遠東街151號,23.4844444,120.4350668
600台灣嘉義市東區文雅街168號,23.4833501,120.4847978
香港屯門青山公路嶺南段8號,22.4089665,113.9817617
600台灣嘉義市西區民生南路930號,23.4543978,120.4382233
600台灣嘉義市東區芳安路17巷30號,23.4681895,120.4647921
600台灣嘉義市東區宣信街30號,23.463079,120.4645467
600台灣嘉義市西區興達路543號,23.4849038,120.4292597
600台灣嘉義市西區新民路420號,23.4602379,120.4407319
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
514台灣彰化縣溪湖鎮大溪路二段291號,23.965748,120.4838884
600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133
600台灣嘉義市西區八德路330號,23.4912488,120.4302424
600台灣嘉義市西區德明路90號,23.4814836,120.4320387
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市西區杭州四街42號,23.4672318,120.4450469
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市東區嘉北街90號,23.4940596,120.4536092
600台灣嘉義市西區興達路543號,23.4849038,120.4292597
901台灣屏東縣三地門鄉中正路一段56號,22.7135304,120.6493661
600台灣嘉義市西區永樂五街38號,23.475569,120.4223884
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市東區吳鳳南路521巷523號,23.4613,120.4571352
600台灣嘉義市西區南京路61號,23.456272,120.44052
600台灣嘉義市西區八德路360-366號,23.4917141,120.4300699
600台灣嘉義市東區義教街601號,23.4983986,120.4573523
600台灣嘉義市西區垂楊路259-275號,23.4736238,120.4486772
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區垂楊路402號,23.4741274,120.4497741
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區大溪路320號,23.4828943,120.4089851
600台灣嘉義市西區福全街91號,23.4787884,120.4305936
600台灣嘉義市西區玉山路205-217號,23.471943,120.4258114
600台灣嘉義市東區中山路46號,23.4825597,120.4608711
600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725
600台灣嘉義市西區玉山路104號,23.4726976,120.4290426
600台灣嘉義市東區20,23.5088651,120.4446987
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市東區南興路192-1號,23.4664724,120.4567973
600台灣嘉義市西區博愛路二段133號,23.4815231,120.4398559
600台灣嘉義市西區大聖二街12號,23.4626339,120.4209624
600台灣嘉義市西區遠東街51巷34號,23.485939,120.4372427
600台灣嘉義市東區吳鳳南路521巷49弄2號,23.4636747,120.4569483
600台灣嘉義市東區台斗街124號,23.494057,120.4513018
600台灣嘉義市西區德明路90號,23.4814836,120.4320387
600台灣嘉義市西區賢達路17號,23.4955988,120.4113762
600台灣嘉義市西區中正路383-399號,23.4788021,120.4495005
600台灣嘉義市西區中正路383-399號,23.4788021,120.4495005
901台灣屏東縣三地門鄉中正路一段56號,22.7135304,120.6493661
600台灣嘉義市西區四維路12號,23.4773248,120.4254957
600台灣嘉義市西區世賢路一段867號,23.4854104,120.4242013
600台灣嘉義市西區北安路62號,23.4896761,120.4326344
600台灣嘉義市東區大雅路二段570號,23.4777071,120.4686796
600台灣嘉義市西區玉山路579號,23.4698007,120.416207
600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374
600台灣嘉義市西區徐州六街64號,23.4674791,120.4380159
600台灣嘉義市東區台斗街31號,23.4909592,120.4514337
600台灣嘉義市西區北港路30號,23.4756655,120.4355605
600台灣嘉義市東區興村街60號,23.4549917,120.4570036
600台灣嘉義市西區忠義街50號,23.4769498,120.4476631
600台灣嘉義市西區友孝路60號,23.4809912,120.4356495
600台灣嘉義市東區博東路1號,23.4902251,120.4560186
600台灣嘉義市西區新民路707巷2號,23.4690412,120.4395523
600台灣嘉義市東區忠孝北街122號,23.5165961,120.4464509
508台灣彰化縣和美鎮彰新路六段630號,24.150915,120.509799
600台灣嘉義市西區友忠路961號,23.490514,120.4423772
600台灣嘉義市東區義教街110-118號,23.4951254,120.4662949
600台灣嘉義市東區林森東路750號,23.4923366,120.4778693
600台灣嘉義市東區民樂街61號,23.4812002,120.4583705
514台灣彰化縣溪湖鎮大溪路二段291號,23.965748,120.4838884
600台灣嘉義市東區林森東路61號,23.4869129,120.4557224
600台灣嘉義市東區博東路269號,23.4905071,120.4580267
406台灣台中市北屯區中清路二段840號,24.1869276,120.6635486
406台灣台中市北屯區中清路二段840號,24.1869276,120.6635486
600台灣嘉義市西區玉山路1號,23.473261,120.4319371
600台灣嘉義市東區興仁街29號,23.4573895,120.4633085
600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228
600台灣嘉義市東區林森東路684巷4弄31號,23.490578,120.475721
600台灣嘉義市西區興達路480號,23.484986,120.431949
600台灣嘉義市東區光正街25號,23.4675718,120.4690616
600台灣嘉義市西區蘭州二街76-88號,23.4679834,120.4326187
351台灣苗栗縣頭份市環市路三段919號,24.6940117,120.8853784
600台灣嘉義市東區溪興街1號,23.4559806,120.458689
600台灣嘉義市東區阿里山公路120號,23.4656665,120.4546463
600台灣嘉義市西區玉康路480號,23.4758223,120.4239528
600台灣嘉義市西區福義街30號,23.4780824,120.4309138
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區自強街421號,23.4648085,120.4145564
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市西區友竹街12號,23.4830526,120.4383302
600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133
600台灣嘉義市東區文雅街168號,23.4833501,120.4847978
600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873
600台灣嘉義市西區志昇街79號,23.4691128,120.4430855
600台灣嘉義市西區自強街195巷32-1號,23.4643382,120.4201285
600台灣嘉義市西區西榮街211號,23.4789882,120.4451055
600台灣嘉義市東區民權路10-1號,23.484367,120.465974
600台灣嘉義市西區民生南路303號,23.4634687,120.4447992
600台灣嘉義市東區小雅路513巷24號,23.4763545,120.4685768
600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625
600台灣嘉義市西區泰山三街70號,23.4857978,120.4256421
600台灣嘉義市西區仁愛一街63號,23.4669135,120.4409961
502台灣彰化縣芬園鄉大彰路一段535號,23.9610659,120.629349
600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339
600台灣嘉義市西區北園街91號,23.4937219,120.4246521
502台灣彰化縣芬園鄉大彰路一段535號,23.9610659,120.629349
600台灣嘉義市西區南京路61號,23.456272,120.44052