鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,湖子內段湖美小段91~120地號,74.07,住,,,1051031,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3653000,49318,,0,0,親友、員工或其他特殊關係間之交易。,RPWNMLTLKILFFAI76EA
嘉義市,土地,湖東段91~120地號,14,住,,,1051209,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,652260,46590,,0,0,向政府機關承購之案件。,RPSNMLTLKILFFAI98EA
嘉義市,土地,元段二小段181~210地號,34,商,,,1051108,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,400000,11765,,0,0,含增建或未登記建物。,RPTNMLTLKILFFAI09EA
嘉義市,建物,嘉義市嘉義市金山路91~120號,0,,,,1051216,土地0建物1車位0,七層，走廊,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840803,130.12,3,1,2,有,無,2000000,15370,,0,0,土地地上權利金價款新台幣90萬建物價款新台幣110萬,RPPNMLRLKILFFAI48EA
嘉義市,土地,大溪段721~750地號,306.28,住,,,1051205,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,4073391,13300,,0,0,,RPXNMLTLKILFFAI86EA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路四段56巷1~30號,42,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,700407,55.9,4,1,2,有,無,1400000,25045,,0,0,,RPOOMLTLKILFFAI68EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市垂楊路61~90號,24.05,住,,,1051212,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820706,135.35,3,2,1,有,有,4100000,30292,坡道平面,0,0,,RPVNMLTLKILFFAI09CA
嘉義市,土地,湖子內段湖美小段241~270地號,92.05,住,,,1051023,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1200000,13036,,0,0,親友(母女)關係間之交易。,RPPOMLTLKILFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州四街1~30號,91,住,,,1051202,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,931021,192.21,4,2,3,有,無,8900000,46304,,0,0,,RPQOMLTLKILFFAI68CA
嘉義市,土地,榮段四小段1~30地號,21.33,商,,,1051214,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,93765,,0,0,,RPROMLTLKILFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040807,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9567800,53731,,0,0,,RPOOMLRJLHMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9454600,53095,,0,0,,RPPOMLRJLHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,104.2,農,,,1040810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,171.84,4,2,4,有,無,9104800,52984,,0,0,,RPQOMLRJLHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040917,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9651500,54201,,0,0,,RPVNMLRJLHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040914,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9604600,53937,,0,0,,RPWNMLRJLHMFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,103.2,農,,,1040824,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,173.96,4,2,4,有,無,8954900,51477,,0,0,,RPVOMLRJLHMFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,101.2,農,,,1040820,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,166.32,4,2,4,有,無,8727400,52474,,0,0,,RPPPMLRJLHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,102.2,農,,,1040927,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,166.67,4,2,4,有,無,8696000,52175,,0,0,,RPQPMLRJLHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,104.2,農,,,1040810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,171.84,4,2,4,有,無,9004800,52402,,0,0,,RPTPMLRJLHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,107.2,農,,,1040812,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,171.84,4,2,4,有,無,9004800,52402,,0,0,,RPVPMLRJLHMFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,133.2,農,,,1040811,土地3建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1051219,216.21,4,2,4,有,無,11712700,54173,,0,0,,RPXOMLRJLHMFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,104.2,農,,,1040817,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,171.84,4,2,4,有,無,9009000,52427,,0,0,,RPTOMLRJLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,104.2,農,,,1040810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,171.84,4,2,4,有,無,9104800,52984,,0,0,,RPROMLRJLHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,127.2,農,,,1040911,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,190.99,4,2,4,有,無,10550000,55238,,0,0,,RPWOMLRJLHMFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040807,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9550000,53631,,0,0,,RPXNMLRJLHMFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,103.2,農,,,1040926,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,169.96,4,2,4,有,無,9081500,53433,,0,0,,RPOPMLRJLHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市荖藤里忠孝路781~810號,15.07,住,,,1060201,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,121.73,3,2,2,有,有,4590000,37706,,0,0,,RPSOMLTJLHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市大和街151~180號,193.57,住,,,1060208,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050401,357.63,4,3,5,有,無,19700000,55085,,0,0,,RPTNMLRJLHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市共和路61~90號,5.46,商,,,1060119,土地4建物2車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700421,37.41,1,1,1,有,有,400000,10692,,0,0,,RPUNMLRJLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路327巷1~30號,60,住,,,1060106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,661111,76.77,2,1,2,有,無,2000000,26052,,0,0,親友、員工或其他特殊關係間之交易。,RPTNMLTJLHMFFAI98EA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路301~330號,46.05,住,,,1060112,土地2建物1車位0,三層，四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771108,158.07,4,2,3,有,無,2600000,16448,,0,0,親友、員工或其他特殊關係間之交易。,RPWOMLTJLHMFFAI76EA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路1~30號,26,住,,,1051226,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,770615,118.42,3,2,2,有,有,2400000,20267,,0,0,親友、員工或其他特殊關係間之交易。,RPVNMLMLLHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路798巷1~30號,98.98,住,,,1060208,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,970131,165.81,4,2,3,有,無,8000000,48248,,0,0,親友、員工或其他特殊關係間之交易。,RPVOMLTJLHMFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路526巷1~30號,583,住,,,1060215,土地3建物2車位0,全,一層,透天厝,住工用,鋼造,751122,305.63,6,3,4,有,無,42502157,139064,,0,0,,RPXOMLTJLHMFFAI66CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市文雅街150巷1~30號,16.12,住,,,1060220,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841002,108.8,3,2,2,有,有,3650000,33548,坡道機械,0,0,,RPQPMLTJLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路206巷1~30號,32.95,住,,,1060109,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691017,104.71,3,2,2,有,無,1700000,16235,,0,0,,RPXNMLMLLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市友竹街61~90號,31.79,住,,,1051230,土地2建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,見其他登記事項,1051027,124.47,3,2,2,有,有,5250000,42179,,0,0,,RPVOMLMLLHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市友竹街91~120號,310.04,其他,,,1051230,土地5建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051027,648.26,4,1,4,有,有,31500000,48592,,0,0,,RPWOMLMLLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市大愛街31~60號,125.57,住,,,1060222,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,960907,202.58,3,2,4,有,無,12000000,59236,,0,0,,RPRNMLTJLHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市興業西路61~90號,210,住,,,1060204,土地2建物2車位0,全,四層,透天厝,住商用,鋼筋混凝土造,730601,651.28,12,6,8,有,無,44000000,67559,,0,0,,RPSNMLTJLHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市大雅路一段288巷116弄1~30號,149.13,住,,,1060203,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1021016,211.58,4,3,6,有,無,11300000,53408,,0,0,,RPTOMLMLLHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市僑嘉一街1~30號,66,住,,,1060221,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,710518,148.28,5,2,3,有,無,6500000,43836,,0,0,,RPOOMLMLLHMFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義市盧厝91~120號,25.43,住,,,1060303,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790423,122.55,3,2,2,有,有,3800000,31008,,0,0,,RPPOMLMLLHMFFAI97CA
嘉義市,建物,嘉義市嘉義市文化路781~810號,0,,,,1060309,土地0建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,880909,158.29,1,2,4,有,無,1520000,9603,,0,0,由土地所有權人承售,RPPNMLLLLHMFFAI97EA
嘉義市,房地(土地+建物),嘉義市嘉義市成仁街121~150號,71,商,,,1060218,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1040820,245.36,4,2,4,有,無,13500000,55021,,0,0,,RPSNMLMLLHMFFAI38EA
嘉義市,房地(土地+建物),嘉義市嘉義市五福街20巷25弄31~60號,60,住,,,1060307,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,660420,87.88,4,2,2,有,無,3650000,41534,,0,0,,RPRNMLNLMHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路201巷1~30號,67,住,,,1060315,土地1建物1車位0,全,一層,透天厝,住家用,木造,600606,46.57,2,2,1,有,無,1700000,36504,,0,0,,RPPOMLPJMHMFFAI18CA
嘉義市,土地,下路頭段421~450地號,71,住,,,1060306,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4510700,63531,,0,0,,RPQNMLRJMHMFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路781~810號,16.25,住,,,1060312,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,135.96,2,2,2,有,有,5200000,39810,坡道平面,30.46,1000000,,RPVNMLLKMHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新?601~630號,8.88,住,,,1060317,土地1建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,731129,42.01,1,1,1,有,有,800000,19043,,0,0,,RPROMLLKMHMFFAI28EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市友愛路486?481~510號,19.76,住,,,1060217,土地1建物1車位1,三層，四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881129,189.09,5,1,3,有,有,6500000,34375,坡道平面,0,0,親友、員工或其他特殊關係間之交易。,RPRNMLMKMHMFFAI28EA
嘉義市,房地(土地+建物),嘉義市嘉義市玉山路76巷91~120號,4.92,住,,,1060315,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,840711,35.16,1,1,1,有,無,1200000,34130,,0,0,,RPRNMLLKMHMFFAI18EA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路151~180號,22.75,住,,,1060307,土地4建物1車位1,一層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,931103,145.12,1,1,1,有,有,20000000,137817,坡道平面,0,0,,RPWNMLKKMHMFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市八德路391~420號,26,住,,,1060227,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820504,138.31,3,2,2,有,有,3300000,23859,坡道機械,0,0,,RPPNMLSJMHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市文化路694巷29弄1~30號,52,住,,,1060314,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,640627,83.63,4,2,2,有,無,3280000,39220,,0,0,,RPRNMLKKMHMFFAI87CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路151~180號,27.24,住,,,1060307,土地4建物1車位1,一層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,931103,169.96,1,1,1,有,有,20000000,117675,坡道平面,0,0,,RPUNMLKKMHMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市保建街31~60號,20.5,住,,,1060327,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820623,124.17,2,1,1,有,無,3000000,24160,,0,0,,RPPNMLMKMHMFFAI87CA
嘉義市,土地,湖子內段興安小段151~180地號,2550.38,住,,,1060313,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,94890000,37206,,0,0,,RPUNMLMKMHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路608巷91~120號,20.49,住,,,1060320,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740913,72.72,3,2,1,有,無,2000000,27503,,0,0,,RPVNMLMKMHMFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路61~90號,90,住,,,1060215,土地2建物1車位0,一層，二層，三層，見其他登記事項,三層,店面(店鋪),見其他登記事項,見其他登記事項,1051125,197.33,3,2,5,有,無,19000000,96285,,0,0,,RPVNMLNKMHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段631~660號,78,住,,,1060320,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,880108,240.36,5,3,5,有,無,10000000,41604,,0,0,,RPRNMLOKMHMFFAI28CA
嘉義市,土地,劉厝段1~30地號,189,住,,,1060310,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10300000,54497,,0,0,,RPSNMLOKMHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路211巷21弄1~30號,97,住,,,1060320,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,930618,188.19,3,3,4,有,無,10150000,53935,,0,0,,RPQOMLOKMHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,6.53,住,,,1060329,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841004,42.7,1,1,1,有,無,1300000,30445,,0,0,,RPXNMLRJMHMFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭州五街121~150號,105,住,,,1060327,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050630,228.93,5,3,6,有,無,12600000,55039,,0,0,,RPQOMLRJMHMFFAI48CA
嘉義市,土地,東門段五小段1~30地號,242,住,,,1060316,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,32940000,136116,,0,0,,RPOPMLTKMHMFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市立仁路42巷1~30號,87.08,住,,,1060308,土地3建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1031117,188.57,4,3,5,有,無,9800000,51970,,0,0,,RPPOMLOLMHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市湖子內路1巷91~120號,23.14,住,,,1060217,土地1建物2車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820616,116.63,2,1,2,有,有,3150000,27008,,0,0,,RPSNMLPLMHMFFAI58CA
嘉義市,土地,車店段車店小段931~960地號,108,住,,,1060309,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2777544,25718,,0,0,向政府機關承購之案件。,RPRNMLRJMHMFFAI68EA
嘉義市,土地,車店段車店小段931~960地號,115,住,,,1060309,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2957570,25718,,0,0,向政府機關承購之案件。,RPSNMLRJMHMFFAI78EA
嘉義市,土地,埤子頭段391~420地號,127,住,,,1060222,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,2250000,17717,,0,0,,RPPNMLKKMHMFFAI87EA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路466巷61~90號,213,住,,,1060121,土地4建物1車位0,全,二層,透天厝,住家用,見其他登記事項,690612,108.29,3,2,2,有,無,5900000,54483,,0,0,,RPXNMLNJNHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市永安街246巷46弄31~60號,58,住,,,1060317,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,660712,85.12,4,2,2,有,無,2800000,32895,,0,0,,RPTNMLPLMHMFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新生路571~600號,13.33,住,,,1060303,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840926,98.99,2,2,1,有,有,3200000,32326,坡道機械,0,0,,RPUOMLOLMHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,13.67,住,,,1060306,土地1建物1車位0,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870319,114.93,3,2,2,有,有,3330000,28974,,0,0,,RPQOMLOLMHMFFAI38CA
嘉義市,土地,南門段四小段1~30地號,312.33,商,,,1060309,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,7679889,24589,,0,0,含地上未登記建物1棟親友、員工或其他特殊關係間之交易。,RPSOMLOLMHMFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路181~210號,14.64,住,,,1060310,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820609,122.63,3,2,2,有,有,2500000,20387,,0,0,,RPWOMLSKMHMFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路238巷32弄1~30號,144.71,住,,,1060301,土地3建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1060111,242.29,4,3,4,有,無,18880000,77923,,0,0,,RPPOMLKLMHMFFAI87CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市國城二街31~60號,26.7,住,,,1060306,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830127,165.53,3,2,2,有,無,3850000,23259,坡道機械,0,0,,RPTOMLRJMHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市義教街706巷6弄1~30號,96,住,,,1060315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,790925,212.57,5,2,2,有,無,5390000,25356,,0,0,,RPQNMLNKMHMFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市中興路271巷2弄1~30號,116,住,,,1060314,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1050629,305.53,5,3,6,有,無,15200000,49750,,0,0,,RPQOMLRKMHMFFAI58CA
嘉義市,土地,大溪段601~630地號,143.32,住,,,1060318,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3300000,23025,,0,0,,RPVNMLKKMHMFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市泰瑞一街1~30號,94,住,,,1060104,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051025,202.52,4,3,4,有,無,12880000,63599,,0,0,,RPTNMLKKMHMFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路121~150號,29.07,住,,,1060322,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931103,187.89,3,2,2,有,有,5250000,27942,坡道平面,0,0,,RPXNMLKKMHMFFAI48CA
