Test,orgin,googleAPI_return_Address,lat,lng,street
透天厝,嘉義市嘉義市大富四街61~90號,600台灣嘉義市西區大富四街36-52號,23.4642592,120.4141203,劉厝里
透天厝,嘉義市嘉義市新生路576巷1~30號,600台灣嘉義市東區新生路576巷13號,23.4927773,120.4582527,太平里
華廈,嘉義市嘉義市文雅街116巷31~60號,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
透天厝,嘉義市嘉義市下埤里2鄰頂埤1~30號,找不到位址,無,無,無
透天厝(含車位),嘉義市嘉義市興仁街10巷1~30號,600台灣嘉義市東區興仁街10巷30號,23.4571039,120.4641799,興仁里
透天厝,嘉義市嘉義市芳德街91~120號,600台灣嘉義市東區芳德街85號,23.4670915,120.4591368,頂寮里
店面(店鋪),嘉義市嘉義市垂楊路271~300號,600台灣嘉義市西區垂楊路259-275號,23.4736238,120.4486772,導明里
華廈(含車位),嘉義市嘉義市北興街151~180號,600台灣嘉義市西區博愛路一段562-5號,23.484206,120.441533,重興里
華廈,嘉義市嘉義市世賢路四段350巷21弄1~30號,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
華廈,嘉義市嘉義市大同路481~510號,600台灣嘉義市西區大同路481號,23.4759013,120.4225765,港坪里
華廈,嘉義市嘉義市金龍街31~60號,600台灣嘉義市東區金龍街33-35號,23.4789667,120.4707766,東川里
住宅大樓,嘉義市嘉義市興業西路331~360號,600台灣嘉義市西區徐州六街64號,23.4674791,120.4380159,福民里
住宅大樓(含車位),嘉義市嘉義市新民路391~420號,600台灣嘉義市西區新民路420號,23.4602379,120.4407319,光路里
住宅大樓,嘉義市嘉義市彌陀路121~150號,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里
透天厝,嘉義市嘉義市義教街31~60號,600台灣嘉義市東區義教街31號,23.4934508,120.4677096,新店里
住宅大樓,嘉義市嘉義市博東路151~180號,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
店面(店鋪),嘉義市嘉義市中山路271~300號,600台灣嘉義市東區中山路242-248號,23.4804373,120.4507984,中央里
套房,嘉義市嘉義市博愛路一段482巷1~30號,600台灣嘉義市西區博愛路一段482巷30號,23.4864012,120.4425852,重興里
套房,嘉義市嘉義市小雅路331~360號,600台灣嘉義市東區小雅路250號,23.4745693,120.4736369,蘭潭里
透天厝,嘉義市嘉義市芳安路335巷1~30號,600台灣嘉義市東區芳安路1號,23.4688333,120.4654,芳草里
住宅大樓,嘉義市嘉義市小雅路181~210號,600台灣嘉義市東區小雅路185號,23.4726044,120.4740688,蘭潭里
透天厝,嘉義市嘉義市過溪271~300號,600台灣嘉義市東區過溪41號,23.4515886,120.4558931,興村里
華廈,嘉義市嘉義市永福一街31~60號,600台灣嘉義市西區永福一街22號,23.4726134,120.4252421,磚磘里
透天厝,嘉義市嘉義市垂楊路629巷1~30號,600台灣嘉義市東區垂楊路1號,23.474639,120.461449,新開里
套房,嘉義市嘉義市彌陀路241~270號,600台灣嘉義市東區彌陀路237號,23.4684617,120.4657539,芳草里
透天厝,嘉義市嘉義市軍輝路271~300號,600台灣嘉義市東區軍輝路271號,23.4540098,120.4586287,興仁里
透天厝,嘉義市嘉義市保仁三街162巷1弄1~30號,600台灣嘉義市東區保仁三街1號,23.503521,120.4533602,後湖里
住宅大樓(含車位),嘉義市嘉義市大雅路二段495巷31~60號,600台灣嘉義市東區大雅路二段419巷34號,23.476471,120.4733496,長竹里
華廈,嘉義市嘉義市永福一街31~60號,600台灣嘉義市西區永福一街22號,23.4726134,120.4252421,磚磘里
透天厝,嘉義市嘉義市永樂三街1~30號,600台灣嘉義市西區永樂三街1號,23.4748909,120.4229093,港坪里
住宅大樓(含車位),嘉義市嘉義市林森東路721~750號,600台灣嘉義市東區林森東路750號,23.4923366,120.4778693,圳頭里
住宅大樓,嘉義市嘉義市保建街31~60號,600台灣嘉義市東區保建街60號,23.5006199,120.4530035,後湖里
住宅大樓(含車位),嘉義市嘉義市四維路91~120號,600台灣嘉義市西區四維路120號,23.4804893,120.4259844,福安里
套房,嘉義市嘉義市文雅街116巷1~30號,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
華廈(含車位),嘉義市嘉義市林森東路211巷1~30號,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里
透天厝,嘉義市嘉義市保安二路91~120號,600台灣嘉義市西區保安二路91號,23.4917614,120.4384446,新厝里
透天厝,嘉義市嘉義市芳安路17巷241~270號,600台灣嘉義市東區芳安路17巷241號,23.4669184,120.4650729,芳草里
透天厝,嘉義市嘉義市北鎮街121~150號,600台灣嘉義市西區北鎮街150號,23.4858329,120.4316685,竹圍里
透天厝,嘉義市嘉義市文雅街331~360號,600台灣嘉義市東區文雅街168號,23.4833501,120.4847978,文雅里
透天厝,嘉義市嘉義市保愛二街31~60號,600台灣嘉義市東區保愛二街36-82號,23.5019405,120.4541102,後湖里
住宅大樓(含車位),嘉義市嘉義市博東路151~180號,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,太平里
住宅大樓,嘉義市嘉義市玉山路158巷91~120號,600台灣嘉義市西區玉山路104號,23.4726976,120.4290426,磚磘里
透天厝,嘉義市嘉義市博愛路二段991~1020號,600台灣嘉義市西區博愛路二段996號,23.4619997,120.4221009,劉厝里
住宅大樓,嘉義市嘉義市博東路91~120號,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,太平里
店面(店鋪),嘉義市嘉義市國華街331~360號,600台灣嘉義市西區國華街360號,23.4871003,120.4468778,北榮里
透天厝,嘉義市嘉義市國華新村1~30號,600台灣嘉義市西區國華新村37號,23.4939621,120.4432989,湖邊里
透天厝,嘉義市嘉義市信義路55巷1~30號,600台灣嘉義市西區信義路49-1號,23.4743187,120.4343596,西平里
公寓,嘉義市嘉義市民生南路608巷151~180號,600台灣嘉義市西區民生南路608巷180號,23.4576694,120.4408412,獅子里
透天厝,嘉義市嘉義市興安街145巷1~30號,600台灣嘉義市西區興安街8號,23.462372,120.4489,美源里
華廈(含車位),嘉義市嘉義市大雅路二段421~450號,600台灣嘉義市東區大雅路二段421號,23.4773156,120.4734091,長竹里